中華民國憲法 A0000001
中華民國憲法增修條文 A0000002
憲法實施之準備程序 A0000003
訓政結束程序法 A0000004
動員戡亂時期臨時條款 A0000005
戒嚴時期人民受損權利回復條例 A0000007
中華民國領海及鄰接區法 A0000009
中華民國專屬經濟海域及大陸礁層法 A0000010
戒嚴時期不當叛亂暨匪諜審判案件補償條例 F0120018
民國八十八年九月二十五日總統緊急命令 A0000012
國民大會組織法 A0010001
中華民國總統府組織法 A0010012
國策顧問委員會組織條例 A0010013
戰略顧問委員會組織條例 A0010014
稽勳委員會組織條例 A0010015
中央研究院組織法 A0010016
國史館組織條例 A0010017
國父陵園管理委員會組織條例 A0010018
國家安全會議組織法 A0010021
國家安全局組織法 A0010022
國史館臺灣文獻館組織條例 A0010026
行政院組織法 A0010032
行政院原住民族委員會組織條例 D0000123
行政院公共工程委員會組織條例 A0010037
行政院經濟建設委員會組織條例 A0010039
行政院體育委員會組織條例 H0000052
行政院客家委員會組織條例 D0000129
檔案管理局組織條例 A0010042
行政院原住民族委員會文化園區管理局組織條例 D0000128
立法院各委員會組織法 A0010043
立法院組織法 A0010044
司法院組織法 A0010051
法院組織法 A0010053
最高法院設置分庭條例 A0010054
行政法院組織法 A0010055
懲戒法院組織法 A0010056
法官學院組織法 A0010058
考試院組織法 A0010063
考銓處組織條例 A0010064
監察院組織法 A0010071
監察院各委員會組織法 A0010072
監察院監察委員行署組織條例 A0010073
總統副總統選舉罷免法 A0020001
國民大會同意權行使法 A0020002
國民大會代表報酬及費用支給條例 A0020003
立法院各委員會辦事通則 A0020057
立法院職權行使法 A0020058
中央政府預算執行暫行條例 A0020062
立法委員行為法 A0020064
總統副總統宣誓條例 A0030001
卸任總統副總統禮遇條例 A0030002
褒揚條例 A0030004
勳章條例 A0030006
印信條例 A0030011
宣誓條例 A0030013
公文程式條例 A0030018
請願法 A0030019
訴願法 A0030020
行政執行法 A0030023
國家總動員法 A0030024
公務人員交代條例 A0030025
國家安全法 A0030028
行政院研究發展考核委員會組織條例 A0030032
行政程序法 A0030055
政府採購法 A0030057
九二一震災重建暫行條例 A0030110
千禧年資訊年序爭議處理法 A0030116
離島建設條例 A0030121
中央法規標準法 A0030133
檔案法 A0030134
行政訴訟法 A0030154
公務員懲戒法 A0030155
行政訴訟法施行法 A0030156
憲法訴訟法 A0030159
證人保護法 A0030161
監察法 A0030199
省縣自治法 A0040001
直轄市自治法 A0040002
地方制度法 A0040003
縣長任用法 A0040010
縣行政人員任用條例 A0040011
臺灣省政府功能業務與組織調整暫行條例 A0040012
民法 B0000001
民法總則施行法 B0000002
民法債編施行法 B0000003
民法物權編施行法 B0000004
民法親屬編施行法 B0000005
民法繼承編施行法 B0000006
涉外民事法律適用法 B0000007
民事訴訟法 B0010001
民事訴訟法施行法 B0010002
民事訴訟費用法 B0010003
強制執行法 B0010004
管收條例 B0010005
破產法 B0010006
破產法施行法 B0010007
非訟事件法 B0010008
公證法 B0010010
提存法 B0010012
外國法院委託事件協助法 B0010014
民刑事訴訟卷宗滅失案件處理法 B0010015
中華民國刑法 C0000001
中華民國刑法施行法 C0000002
妨害國幣懲治條例 C0000003
妨害國家總動員懲罰暫行條例 C0000004
懲治盜匪條例 C0000005
懲治走私條例 C0000006
貪污治罪條例 C0000007
毒品危害防制條例 C0000008
殘害人群治罪條例 C0000009
懲治叛亂條例 C0000010
戡亂時期檢肅匪諜條例 C0000012
組織犯罪防制條例 C0000013
刑事訴訟法 C0010001
刑事訴訟法施行法 C0010002
海上捕獲法庭審判條例 C0010004
赦免法 C0010005
中華民國六十年罪犯減刑條例 C0010006
中華民國六十四年罪犯減刑條例 C0010007
提審法 C0010008
刑事補償法 C0010009
少年事件處理法 C0010011
公設辯護人條例 C0010013
中華民國七十七年罪犯減刑條例 C0010017
中華民國八十年罪犯減刑條例 C0010018
觀察勒戒處分執行條例 C0010022
戒治處分執行條例 C0010023
內政部組織法 D0000001
內政部營建署組織條例 D0000008
內政部警政署組織條例 D0000015
中央警察大學組織條例 D0000022
國家公園管理處組織通則 D0000027
各省市警察學校組織通則 D0000031
臺灣警察專科學校組織條例 D0000034
內政部警政署保安警察總隊組織通則 D0000036
內政部警政署水上警察局組織條例 D0000038
內政部警政署國道公路警察局組織條例 D0000043
蒙藏委員會組織法 D0000044
蒙古盟部旗組織法 D0000045
蒙古盟部旗組織法施行條例 D0000046
內政部兒童局組織條例 D0000051
內政部警政署國家公園警察大隊組織條例 D0000053
內政部警政署航空警察局組織條例 D0000059
內政部役政署組織條例 D0000065
內政部警政署刑事警察局組織條例 D0000068
國家風景區管理處組織通則 K0000084
內政部消防署組織條例 D0000069
內政部消防署港務消防隊組織通則 D0000070
內政部建築研究所組織條例 D0000071
內政部警政署鐵路警察局組織條例 D0000103
內政部警政署臺灣保安警察總隊組織條例 D0000104
內政部警政署警察電訊所組織條例 D0000105
內政部警政署港務警察局組織通則 D0000106
內政部警政署警察廣播電臺組織條例 D0000107
內政部警政署民防防情指揮管制所組織條例 D0000108
內政部警政署警察機械修理廠組織條例 D0000109
國民大會代表選舉罷免法 D0020001
國民大會代表選舉罷免法施行條例 D0020002
國民大會代表立法院立法委員選舉總事務所組織條例 D0020003
國民大會代表立法院立法委員選舉補充條例 D0020004
立法院立法委員選舉罷免法 D0020006
立法院立法委員選舉罷免法施行條例 D0020007
監察院監察委員選舉罷免法 D0020008
監察院監察委員選舉罷免法施行條例 D0020009
公職人員選舉罷免法 D0020010
省政府組織法 D0020012
市組織法 D0020014
縣組織法 D0020016
縣組織法施行法 D0020017
鄉鎮組織暫行條例 D0020019
中華民國國徽國旗法 D0020020
服制條例 D0020022
國葬法 D0020023
公葬條例 D0020024
監督寺廟條例 D0020027
墳墓設置管理條例 D0020034
第一屆資深中央民意代表自願退職條例 D0020036
地方民意代表費用支給及村里長事務補助費補助條例 D0020039
殯葬管理條例 D0020040
國葬先哲逝世紀念典禮條例 D0020057
原住民身分法 D0130001
原住民敬老福利生活津貼暫行條例 D0130004
原住民族工作權保障法 D0130006
志願服務法 D0050131
國籍法 D0030001
國籍法施行條例 D0030002
戶籍法 D0030006
姓名條例 D0030011
戶口普查法 D0030014
軍人及其家屬優待條例 D0040008
替代役實施條例 D0040017
兒童福利法 D0050002
老年農民福利津貼暫行條例 M0090015
兒童及少年性剝削防制條例 D0050023
少年福利法 D0050024
老人福利法 D0050037
敬老福利生活津貼暫行條例 D0050042
身心障礙者權益保障法 D0050046
家庭暴力防治法 D0050071
特殊境遇家庭扶助條例 D0050075
社會救助法 D0050078
農民健康保險條例 D0050084
人民團體法 D0050091
中華民國紅十字會法 D0050098
商業團體法 D0050100
工業團體法 D0050103
教育會法 D0050108
合作社法 D0050112
社會工作師法 D0050125
儲蓄互助社法 D0050128
土地法 D0060001
土地法施行法 D0060002
農村社區土地重劃條例 D0060007
耕地三七五減租條例 D0060008
平均地權條例 D0060009
水陸地圖審查條例 D0060014
測量標設置保護條例 D0060017
農地重劃條例 D0060019
實施耕者有其田條例 D0060030
土地徵收條例 D0060058
不動產經紀業管理條例 D0060066
不動產估價師法 D0060076
地政士法 D0060081
都市計畫法 D0070001
市區道路條例 D0070007
都市更新條例 D0070008
區域計畫法 D0070030
新市鎮開發條例 D0070032
共同管道法 D0070046
下水道法 D0070058
工程受益費徵收條例 D0070060
促進民間參與公共建設法 D0070062
國民住宅條例 D0070081
國家公園法 D0070105
建築法 D0070109
建築師法 D0070112
公寓大廈管理條例 D0070118
自來水法 J0110055
警察法 D0080001
省警務處組織法 D0080005
省保安警察隊組織條例 D0080006
警察教育條例 D0080007
警察勤務條例 D0080026
警察服制條例 D0080036
自衛槍枝管理條例 D0080037
警械使用條例 D0080042
槍砲彈藥刀械管制條例 D0080047
檢肅流氓條例 D0080051
集會遊行法 D0080058
社會秩序維護法 D0080067
當舖業法 D0080075
違警罰法 D0080077
性侵害犯罪防治法 D0080079
保全業法 D0080081
警察刑事紀錄證明核發條例 D0080088
警察獎章條例 D0080103
民防法 D0080118
入出國及移民法 D0080132
行政院海岸巡防署組織法 D0090001
行政院海岸巡防署海洋巡防總局組織條例 D0090002
行政院海岸巡防署海岸巡防總局組織條例 D0090003
行政院海岸巡防署海岸巡防總局各地區巡防局組織通則 D0090004
海岸巡防法 D0090009
管理喇嘛寺廟條例 D0100005
總統副總統選舉罷免法 D0020053
消防法 D0120001
災害防救法 D0120014
外交部組織法 E0000001
外交部外交領事人員講習所組織條例 E0000002
駐外使領館組織條例 E0000003
外交部領事事務局組織條例 E0000004
僑務委員會組織法 E0000005
國際合作發展基金會設置條例 E0000012
駐華外國機構及其人員特權暨豁免條例 E0020005
護照條例 E0030001
外國護照簽證條例 E0030002
國防部組織法 F0000001
國防部參謀本部組織條例 F0000002
後備軍人會組織通則 F0000003
行政院國軍退除役官兵輔導委員會組織條例 F0000006
國軍軍事勤務致人民傷亡損害補償條例 F0000036
國防部總政治作戰局組織條例 F0000066
國防部主計局組織條例 F0000067
國防部軍醫局組織條例 F0000068
國防法 F0010030
特級上將授任條例 F0030001
陸海空軍軍官士官任官條例 F0030002
陸海空軍軍官士官任職條例 F0030004
陸海空軍軍官士官考績條例 F0030005
陸海空軍勳賞條例 F0030008
陸海空軍獎勵條例 F0030010
空軍勛獎條例 F0030012
陸海空軍懲罰法 F0030013
軍人婚姻條例 F0030015
兵役法 F0040001
兵役法施行法 F0040002
陸海空軍軍官服役條例 F0040003
陸海空軍士官服役條例 F0040005
志願士兵服役條例 F0040007
陸海空軍軍官士官服役條例 F0040020
軍人保險條例 F0050001
軍人撫卹條例 F0050003
海軍服制條例 F0060001
陸軍服制條例 F0060002
空軍服制條例 F0060003
陸海空軍軍旗條例 F0060005
要塞堡壘地帶法 F0070001
戒嚴法 F0070002
衛戍條例 F0070003
軍事徵用法 F0070004
防空法 F0070006
金門馬祖東沙南沙地區安全及輔導條例 F0070011
全民防衛動員準備法 F0070013
軍事教育條例 F0080007
國防工業發展基金設置條例 F0110001
陸海空軍刑法 F0120001
妨害兵役治罪條例 F0120002
戰時軍律 F0120003
妨害軍機治罪條例 F0120004
海上捕獲條例 F0120006
戰時禁制品條例 F0120007
軍事審判法 F0120008
軍事審判法施行法 F0120009
戰士授田憑據處理條例 F0140009
國軍老舊眷村改建條例 F0140013
國軍退除役官兵輔導條例 F0150001
財政部組織法 G0300001
財政部國庫署組織條例 G0300002
財政部國有財產局組織條例 G0300003
財政部各地區國稅局組織通則 G0300005
財政部各地區支付處組織通則 G0300006
財政部證券暨期貨管理委員會組織條例 G0300016
財政部賦稅署組織條例 G0300017
財政部財稅人員訓練所組織條例 G0300019
財政部財稅資料中心組織條例 G0300024
財政部關稅總局組織條例 G0300026
財政部關稅總局各地區關稅局組織通則 G0300027
財政部金融局組織條例 G0300028
中央銀行法 G0410001
財政部國有財產局各地區辦事處組織通則 G0300030
國家金融安定基金設置及管理條例 G0300040
公庫法 G0320001
國庫法 G0320003
國庫券及短期借款條例 G0320008
財政收支劃分法 G0320015
煤業安定基金條例 G0320017
臺灣省內菸酒專賣暫行條例 G0330001
菸酒稅法 G0330010
菸酒管理法 G0330011
臺灣菸酒股份有限公司條例 G0330027
稅捐稽徵法 G0340001
所得稅法 G0340003
勘報災歉條例 G0340021
財務罰鍰處理暫行條例 G0340023
中華民國八十年度所得稅稅率條例 G0340041
遺產及贈與稅法 G0340072
貨物稅條例 G0340076
證券交易稅條例 G0340078
期貨交易稅條例 G0340079
加值型及非加值型營業稅法 G0340080
印花稅法 G0340091
使用牌照稅法 G0340095
土地稅法 G0340096
房屋稅條例 G0340102
契稅條例 G0340105
娛樂稅法 G0340106
關稅法 G0350001
海關緝私條例 G0350029
關務人員人事條例 G0350037
海關進口稅則 G0350051
銀行法 G0380001
交通銀行條例 G0380006
中國農民銀行條例 G0380007
中央信託局條例 G0380008
中國國際商業銀行條例 G0380009
中國輸出入銀行條例 G0380010
合作金庫條例 G0380011
銀行業戰前存款放款清償條例 G0380021
動產擔保交易法 G0380024
管理外匯條例 G0380026
票據法 G0380028
國際金融業務條例 G0380037
存款保險條例 G0380039
現行法規所定貨幣單位折算新臺幣條例 G0380048
信用合作社法 G0380058
金融機構合併法 G0380098
金融控股公司法 G0380112
行政院金融重建基金設置及管理條例 G0380117
企業併購法 J0080041
洗錢防制法 G0380131
票券金融管理法 G0380146
中央再保險公司條例 G0390001
保險法 G0390002
強制汽車責任保險法 G0390060
民國二十三年六釐英金庚款公債條例 G0360001
民國三十六年美金公債條例 G0360002
民國三十八年黃金短期公債條例 G0360003
民國三十八年整理美金公債條例 G0360004
民國二十三年第一期鐵路建設公債條例 G0360005
第二期鐵路建設公債條例 G0360006
第三期鐵路建設公債條例 G0360007
民國二十六年京贛鐵路建設公債條例 G0360008
中國農民銀行土地債券法 G0360009
中華民國五十五年度愛國公債發行條例 G0360010
中華民國五十六年度愛國公債發行條例 G0360011
中華民國五十七年度愛國公債發行條例 G0360012
中華民國六十一年度公債發行條例 G0360013
中華民國六十二年度公債發行條例 G0360014
臺灣地區平均地權土地債券發行條例 G0360015
臺灣地區公共建設土地債券發行條例 G0360016
中央政府興建臺灣區高速公路第一期工程建設公債發行條例 G0360017
興建台中港第一期工程建設公債發行條例 G0360018
興建台中港第二期工程建設公債發行條例 G0360019
興建台中港第三期工程建設公債發行條例 G0360020
臺灣鐵路電氣化工程建設公債發行條例 G0360021
中央政府建設公債及借款條例 G0360022
政府發展經濟社會向國外借款及保證條例 G0360023
臺北市自來水工程建設公債發行條例 G0360026
省 G0360027
中央政府興建臺灣北部區域第二高速公路建設公債發行條例 G0360028
公共債務法 G0360033
國有財產法 G0370001
證券交易法 G0400001
證券投資人及期貨交易人保護法 G0400038
會計師法 G0400067
期貨交易法 G0400100
國外期貨交易法 G0400102
日據時代株式會社台灣銀行海外分支機構存款及匯款處理條例 G0380185
公益彩券發行條例 G0380187
教育部組織法 H0000001
教育部學術審議委員會組織條例 H0000002
教育部教育研究委員會組織條例 H0000003
教育部國語推行委員會組織條例 H0000004
教育部訓育委員會組織條例 H0000005
教育部醫學教育委員會組織條例 H0000006
國家圖書館組織條例 H0000011
國立編譯館組織條例 H0000012
國立歷史博物館組織條例 H0000013
國立教育資料館組織條例 H0000014
國立臺灣科學教育館組織條例 H0000016
國立中央圖書館臺灣分館組織條例 H0000025
教育部國民體育委員會組織條例 H0000026
國立臺灣藝術教育館組織條例 H0000027
國立國父紀念館組織條例 H0000028
國立中正紀念堂管理處組織條例 H0000029
國立自然科學博物館組織條例 H0000031
行政院文化建設委員會組織條例 H0000047
國立教育廣播電臺組織條例 H0000048
國立教育廣播電臺分臺組織通則 H0000049
國家文化藝術基金會設置條例 H0000056
國立中國醫藥研究所組織條例 H0000057
圖書館法 H0010008
私立學校法 H0020001
軍公教遺族就學費用優待條例 H0020016
原住民族教育法 H0020037
教師法 H0020040
教育基本法 H0020045
學校衛生法 H0020050
大學法 H0030001
學位授予法 H0030010
空中大學設置條例 H0030020
國立大學校院校務基金設置條例 H0030025
專科學校法 H0040001
職業學校法 H0040006
師資培育法 H0050001
高級中學法 H0060001
國民教育法 H0070001
強迫入學條例 H0070002
幼稚教育法 H0070007
社會教育法 H0080001
補習及進修教育法 H0080002
特殊教育法 H0080027
終身學習法 H0080048
國民體育法 H0120001
學校教職員退休條例 H0150004
學校教職員撫卹條例 H0150006
私立學校教職員保險條例 H0150013
教育人員任用條例 H0150017
行政院國家科學委員會組織條例 H0160001
科學園區設置管理條例 H0160004
科學工業園區管理局組織條例 H0160006
科學技術基本法 H0160028
財團法人國家同步輻射研究中心設置條例 H0160033
財團法人國家實驗研究院設置條例 H0160034
文化資產保存法 H0170001
文化藝術獎助及促進條例 H0170006
藝術教育法 H0170037
行政院青年輔導委員會組織條例 H0180001
國立故宮博物院組織法 H0190006
法務部組織法 I0000001
法務部司法官訓練所組織條例 I0000002
法務部調查局組織法 I0000003
法務部調查局幹部訓練所組織條例 I0000004
監獄組織通則 I0000005
看守所組織通則 I0000006
法務部技能訓練所組織條例 I0000008
法務部法醫研究所組織條例 I0000009
法務部矯正人員訓練所組織條例 I0000010
法務部戒治所組織通則 I0000011
去氧核醣核酸採樣條例 D0080186
法務部行政執行署組織條例 I0000016
行政執行處組織通則 I0000017
仲裁法 I0020001
鄉鎮市調解條例 I0020003
國家賠償法 I0020004
律師法 I0020006
二二八事件處理及賠償條例 I0020013
引渡法 I0030001
保安處分執行法 I0030002
罰金罰鍰提高標準條例 I0030003
竊盜犯贓物犯保安處分條例 I0030004
調度司法警察條例 I0030006
監獄行刑法 I0040001
行刑累進處遇條例 I0040003
羈押法 I0040005
外役監條例 I0040013
少年觀護所設置及實施通則 I0040018
少年輔育院條例 I0040019
戡亂時期監所人犯處理條例 I0040040
少年矯正學校設置及教育實施通則 I0040043
更生保護法 I0050001
犯罪被害人權益保障法 I0050005
個人資料保護法 I0050021
政風機構人員設置管理條例 I0070001
公職人員財產申報法 I0070005
公職人員利益衝突迴避法 I0070008
經濟部組織法 J0000001
經濟部國際貿易局組織條例 J0000010
經濟部工業局組織條例 J0000011
經濟部商品檢驗局組織條例 J0000013
經濟部商品檢驗局所屬各分局組織通則 J0000014
經濟部中央標準局組織條例 J0000015
經濟部產業園區管理局組織條例 J0000019
經濟部加工出口區管理處所屬各分處組織通則 J0000020
經濟部水資源統一規劃委員會組織條例 J0000026
工業技術研究院設置條例 J0000028
經濟部中央地質調查所組織條例 J0000031
經濟部國際貿易局所屬各辦事處組織通則 J0000032
中華經濟研究院設置條例 J0000034
經濟部中小企業處組織條例 J0000036
行政院原子能委員會組織條例 J0000040
行政院原子能委員會核能研究所組織條例 J0000045
